index,GAME_ID,Team_Name,1st Half,2nd Half,1st OT,2nd OT,3rd OT,Total
,3954998,N.C. A&T (0-1),15,37,,,,52
,3954998,Pittsburgh (1-0),50,50,,,,100
,5250790,#5 Towson (20-13),29,37,,,,66
,5250790,#4 UNCW (21-10),30,26,,,,56
,5250791,#7 Stony Brook (19-14),28,43,9,11,,91
,5250791,#2 Drexel (20-12),36,35,9,8,,88
,5252507,#7 Alabama A&M (11-22),31,34,,,,65
,5252507,#3 Texas Southern (16-15),33,39,,,,72
,5252349,#15 George Washington (15-17),30,30,,,,60
,5252349,#10 La Salle (16-16),23,38,,,,61
,3954994,Wash. & Lee (0-0),38,25,,,,63
,3954994,Davidson (1-0),37,49,,,,86
,5252308,#10 Manhattan (7-23),32,25,,,,57
,5252308,#7 Iona (16-16),30,30,,,,60
,3954941,North American,22,46,,,,68
,3954941,SFA (1-0),54,42,,,,96
,5250414,#13 Coastal Carolina (9-21),38,37,,,,75
,5250414,#12 ULM (11-19),29,42,,,,71
,3955063,Fisk,27,34,,,,61
,3955063,Tennessee St. (1-0),43,33,,,,76
,5252636,#10 Stanford (14-18),29,33,,,,62
,5252636,#2 Washington St. (24-8),45,34,,,,79
,3955070,Southern U. (0-1),35,40,,,,75
,3955070,TCU (1-0),54,54,,,,108
,3969829,CSUN (18-14),25,45,,,,70
,3969829,Hawaii (18-13),26,46,,,,72
,3955067,Stonehill (0-1),20,24,,,,44
,3955067,George Washington (1-0),37,52,,,,89
,3955077,Navy (0-1),18,30,,,,48
,3955077,Campbell (1-0),32,27,,,,59
,5251859,#3 Baylor (23-10),27,35,,,,62
,5251859,#2 Iowa St. (26-7),35,41,,,,76
,3954911,Idaho (0-1),28,31,,,,59
,3954911,Washington St. (1-0),41,43,,,,84
,3955044,Toccoa Falls,31,28,,,,59
,3955044,Charleston So. (1-0),50,44,,,,94
,5250895,#4 Santa Clara (20-13),26,39,,,,65
,5250895,#1 Saint Mary's (CA) (25-7),33,46,,,,79
,3969814,UAlbany (13-18),43,36,,,,79
,3969814,Bryant (19-12),39,44,,,,83
,5252328,#7 St. Bonaventure (20-13),22,38,,,,60
,5252328,#6 Duquesne (23-11),28,42,,,,70
,5251906,#9 Oklahoma (20-12),31,39,,,,70
,5251906,#8 TCU (21-11),45,32,,,,77
,5252508,#8 Alabama St. (13-19),27,23,,,,50
,5252508,#1 Grambling (18-14),32,24,,,,56
,3954924,S'western Assemblies,39,24,,,,63
,3954924,SMU (1-0),43,39,,,,82
,3955079,Mt. Marty,29,24,,,,53
,3955079,South Dakota (1-0),44,41,,,,85
,3954971,The Citadel (0-1),27,32,,,,59
,3954971,NC State (1-0),36,36,,,,72
,3969823,St. Bonaventure (18-11),42,33,,,,75
,3969823,George Washington (15-15),37,49,,,,86
,3955058,Youngstown St. (0-1),31,31,,,,62
,3955058,Louisiana (1-0),35,37,,,,72
,3954004,Illinois (23-8),39,34,,,,73
,3954004,Iowa (18-13),29,32,,,,61
,5252403,#5 San Diego St. (24-9),36,50,,,,86
,5252403,#1 Utah St. (27-6),39,31,,,,70
,3969956,Temple (12-19),39,45,,,,84
,3969956,UTSA (11-20),45,37,,,,82
,3955001,Monmouth (0-1),23,38,,,,61
,3955001,George Mason (1-0),29,43,,,,72
,5252611,#6 Wagner (16-15),29,25,,,,54
,5252611,#2 Merrimack (21-12),25,22,,,,47
,5252292,#7 Middle Tenn. (14-18),27,43,,,,70
,5252292,#2 Louisiana Tech (22-10),32,35,,,,67
,5254296,Texas Southern (16-17),26,45,,,,71
,5254296,Tarleton St. (24-9),36,46,,,,82
,5252640,#10 Stanford (14-17),34,35,18,,,87
,5252640,#7 California (13-19),45,24,7,,,76
,3953860,Purdue (27-3),34,43,,,,77
,3953860,Illinois (22-8),40,31,,,,71
,3955010,Piedmont (0-0),47,39,,,,86
,3955010,Coastal Carolina (1-0),46,42,,,,88
,5252304,#6 Niagara (16-16),36,23,,,,59
,5252304,#3 Marist (18-12),24,41,,,,65
,3955074,Fairfield (0-1),34,36,,,,70
,3955074,Boston College (1-0),46,43,,,,89
,3954949,Central Mich. (0-1),21,38,,,,59
,3954949,Oklahoma (1-0),40,49,,,,89
,5252546,#7 Texas A&M (20-13),48,49,,,,97
,5252546,#2 Kentucky (23-9),42,45,,,,87
,3955039,Oral Roberts (0-1),36,35,,,,71
,3955039,UT Arlington (1-0),31,44,,,,75
,5251265,#8 Idaho St. (14-19),33,50,,,,83
,5251265,#2 Northern Colo. (19-13),30,46,,,,76
,5252538,#9 Mississippi St. (21-13),31,35,,,,66
,5252538,#4 Auburn (26-7),31,42,,,,73
,3955066,Blue Mountain (MS),33,27,,,,60
,3955066,North Ala. (1-0),50,43,,,,93
,5252390,#4 Long Beach St. (21-14),27,47,,,,74
,5252390,#2 UC Davis (20-13),32,38,,,,70
,5252344,#12 Fordham (13-20),38,24,,,,62
,5252344,#5 VCU (20-12),37,32,,,,69
,3955046,Wagner (0-1),31,29,4,,,64
,3955046,Fordham (1-0),23,37,8,,,68
,3969802,Toledo (19-11),54,43,,,,97
,3969802,Miami (OH) (15-15),24,39,,,,63
,5250851,#10 IUPUI (6-26),29,37,,,,66
,5250851,#7 Cleveland St. (19-13),44,41,,,,85
,4470656,Voorhees,31,26,,,,57
,4470656,South Carolina St. (1-0),23,42,,,,65
,3954931,Chicago St. (0-1),21,20,,,,41
,3954931,Bowling Green (1-0),32,38,,,,70
,3954993,Johnson (FL),21,25,,,,46
,3954993,Jacksonville (1-0),50,63,,,,113
,3954980,Mid-Atlantic Christ.,19,24,,,,43
,3954980,Liberty (1-0),48,55,,,,103
,5252404,#7 Colorado St. (24-10),25,36,,,,61
,5252404,#6 New Mexico (25-9),33,41,,,,74
,3955037,Western Ill. (0-1),28,37,3,,,68
,3955037,UTSA (1-0),28,37,13,,,78
,3955041,Central Ark. (0-1),27,26,,,,53
,3955041,Tulsa (1-0),33,37,,,,70
,5251295,#8 New Orleans (10-23),25,32,,,,57
,5251295,#4 Lamar University (19-13),34,37,,,,71
,5252610,#3 Bryant (20-13),37,33,,,,70
,5252610,#2 UMass Lowell (22-9),34,43,,,,77
,3969926,Harvard (14-13),41,28,,,,69
,3969926,Dartmouth (6-21),38,38,,,,76
,5252518,#3 UT Arlington (20-14),32,42,,,,74
,5252518,#1 Grand Canyon (29-4),36,53,,,,89
,5251819,#7 Miami (OH) (15-17),35,28,,,,63
,5251819,#2 Akron (22-10),37,38,,,,75
,3955051,Saint Peter's (0-1),27,32,,,,59
,3955051,Seton Hall (1-0),26,44,,,,70
,3955060,Merrimack (0-1),20,35,,,,55
,3955060,Vermont (1-0),36,31,,,,67
,3955082,Kansas St. (0-1),30,39,,,,69
,3955082,Southern California (1-0),40,42,,,,82
,5250806,#5 Furman (17-16),28,49,,,,77
,5250806,#1 Samford (28-5),34,50,,,,84
,5252287,#5 UTEP (18-15),27,38,,,,65
,5252287,#1 Sam Houston (21-12),33,30,,,,63
,5252609,#4 New Hampshire (16-15),24,35,,,,59
,5252609,#1 Vermont (27-6),31,35,,,,66
,3954970,San Fran. St. (0-0),31,26,,,,57
,3954970,California Baptist (1-0),32,42,,,,74
,5252639,#12 Oregon St. (13-19),22,35,,,,57
,5252639,#5 UCLA (16-16),34,33,,,,67
,5250893,#2 Gonzaga (25-7),27,33,,,,60
,5250893,#1 Saint Mary's (CA) (26-7),31,38,,,,69
,3954912,Jackson St. (0-1),36,41,,,,77
,3954912,Memphis (1-0),47,47,,,,94
,3969799,Nevada (25-6),35,41,,,,76
,3969799,Boise St. (21-9),29,37,,,,66
,3954975,Southeast Mo. St. (0-1),30,37,,,,67
,3954975,Grand Canyon (1-0),54,34,,,,88
,5252338,#7 St. Bonaventure (20-12),22,36,7,10,,75
,5252338,#2 Loyola Chicago (23-9),31,27,7,9,,74
,3955004,Immaculata (0-0),38,29,,,,67
,3955004,Rider (1-0),61,52,,,,113
,5250823,#5 FDU (15-17),34,27,,,,61
,5250823,#4 Le Moyne (15-16),42,40,,,,82
,3728719,Princeton (1-0),32,36,,,,68
,3728719,Rutgers (0-1),28,33,,,,61
,3954488,Bethune-Cookman (0-1),22,38,,,,60
,3954488,Minnesota (1-0),46,34,,,,80
,5252380,#7 Providence (21-13),31,37,,,,68
,5252380,#3 Marquette (25-8),42,37,,,,79
,3955014,Tex. A&M-Commerce (0-1),27,19,,,,46
,3955014,Texas A&M (1-0),42,36,,,,78
,3954940,South Dakota Mines (0-0),25,23,,,,48
,3954940,Utah St. (1-0),51,50,,,,101
,5251263,#6 Portland St. (17-15),29,52,,,,81
,5251263,#3 Montana (22-10),35,52,,,,87
,3969803,San Diego St. (22-8),28,30,,,,58
,3969803,UNLV (19-10),33,29,,,,62
,5253400,#2 UMass Lowell (22-10),32,29,,,,61
,5253400,#1 Vermont (28-6),29,37,,,,66
,5252677,#13 Rice (11-21),39,42,,,,81
,5252677,#12 Wichita St. (14-18),52,36,,,,88
,5252413,#9 Fresno St. (12-20),33,44,,,,77
,5252413,#8 Wyoming (15-17),40,33,,,,73
,3954959,Bellarmine (0-1),27,30,,,,57
,3954959,Washington (1-0),35,56,,,,91
,3955055,NIU (0-1),28,42,,,,70
,3955055,Marquette (1-0),50,42,,,,92
,3954923,ULM (0-1),14,17,,,,31
,3954923,Houston (1-0),38,46,,,,84
,3969828,Northwestern St. (9-22),34,23,6,11,6,80
,3969828,Tex. A&M-Commerce (12-19),31,26,6,11,9,83
,5250789,#8 Monmouth (18-15),29,30,,,,59
,5250789,#1 Col. of Charleston (25-7),44,39,,,,83
,3955016,Bradley (1-0),40,24,9,,,73
,3955016,UAB (0-1),24,40,7,,,71
,5251188,#5 North Dakota St. (15-17),22,36,,,,58
,5251188,#4 St. Thomas (MN) (20-12),42,26,,,,68
,5252288,#7 Middle Tenn. (14-19),27,27,,,,54
,5252288,#3 Western Ky. (21-11),46,39,,,,85
,5250808,#7 ETSU (19-15),27,52,6,,,85
,5250808,#3 Chattanooga (21-12),38,41,5,,,84
,3954979,McNeese (1-0),41,35,,,,76
,3954979,VCU (0-1),29,36,,,,65
,5250417,#6 Milwaukee (20-15),33,43,,,,76
,5250417,#1 Oakland (23-11),37,46,,,,83
,5252638,#9 Southern California (15-17),37,43,,,,80
,5252638,#8 Washington (17-15),42,32,,,,74
,3969794,Alabama (20-10),35,52,,,,87
,3969794,Florida (21-9),44,61,,,,105
,3955013,Erskine (0-0),28,30,,,,58
,3955013,Gardner-Webb (1-0),44,54,,,,98
,5252383,#7 Providence (21-12),33,45,,,,78
,5252383,#2 Creighton (23-9),30,43,,,,73
,3954551,Binghamton (0-1),39,22,,,,61
,3954551,Northwestern (1-0),36,36,,,,72
,3954920,Saint Francis (PA) (0-1),22,22,,,,44
,3954920,UCLA (1-0),32,43,,,,75
,5252543,#9 Mississippi St. (21-12),38,35,,,,73
,5252543,#1 Tennessee (24-8),19,37,,,,56
,3955073,Eastern Mich. (0-1),26,29,,,,55
,3955073,Butler (1-0),34,60,,,,94
,3969955,SMU (20-11),29,41,,,,70
,3969955,UAB (20-11),33,41,,,,74
,5252402,#6 New Mexico (26-9),36,32,,,,68
,5252402,#5 San Diego St. (24-10),30,31,,,,61
,5251908,#11 Cincinnati (20-13),38,34,,,,72
,5251908,#6 Kansas (22-10),25,27,,,,52
,3954956,St. Joseph's (L.I.) (0-0),19,29,,,,48
,3954956,Hofstra (1-0),44,57,,,,101
,5252286,#5 UTEP (18-16),36,35,,,,71
,5252286,#3 Western Ky. (22-11),40,38,,,,78
,5252510,#7 Alabama A&M (11-21),34,41,,,,75
,5252510,#2 Alcorn (14-18),37,26,,,,63
,3969816,Cincinnati (17-13),28,39,4,,,71
,3969816,Oklahoma (20-10),27,40,7,,,74
,5250632,#6 North Ala. (15-16),50,27,,,,77
,5250632,#3 Lipscomb (20-12),43,32,,,,75
,3955068,Boston U. (0-1),34,24,,,,58
,3955068,Northeastern (1-0),31,36,,,,67
,3955031,American (0-1),31,32,,,,63
,3955031,Villanova (1-0),41,49,,,,90
,3954952,CSUN (0-1),38,41,,,,79
,3954952,Stanford (1-0),43,45,,,,88
,3955048,Portland St. (1-0),31,31,,,,62
,3955048,Air Force (0-1),27,28,,,,55
,5252650,#5 Wisconsin (21-12),33,37,,,,70
,5252650,#4 Northwestern (21-11),29,32,,,,61
,3954983,Holy Cross (0-1),28,43,,,,71
,3954983,Siena (1-0),38,35,,,,73
,5246892,#4 Arkansas St. (18-16),32,39,,,,71
,5246892,#2 James Madison (31-3),42,49,,,,91
,5251834,#12 Notre Dame (13-20),34,25,,,,59
,5251834,#5 Wake Forest (20-12),40,32,,,,72
,5250852,#9 Robert Morris (10-22),28,35,,,,63
,5250852,#8 Purdue Fort Wayne (21-11),46,32,,,,78
,5252630,#4 Oregon (23-11),33,42,,,,75
,5252630,#3 Colorado (24-10),30,38,,,,68
,3955054,FDU (1-0),54,38,,,,92
,3955054,Buffalo (0-1),44,42,,,,86
,5252637,#6 Utah (19-14),30,28,,,,58
,5252637,#3 Colorado (23-9),33,39,,,,72
,3954938,Cal St. Fullerton (0-1),35,22,,,,57
,3954938,San Diego St. (1-0),37,46,,,,83
,3955003,NJIT (0-1),32,28,,,,60
,3955003,Miami (FL) (1-0),52,49,,,,101
,3954933,Miami (OH) (0-1),34,30,,,,64
,3954933,Evansville (1-0),32,40,,,,72
